"Test ID","Module","Scenario","Device","Status","Start Time","End Time","Duration"
"AUT-001","Authentication","Validate login fails with empty email and password","RZCXC0TCRMN","Passed","2026-06-14T16:20:28.698Z","2026-06-14T16:20:40.980Z","12.28s"
"AUT-002","Authentication","Validate login fails with invalid credentials","RZCXC0TCRMN","Passed","2026-06-14T16:20:40.981Z","2026-06-14T16:21:05.441Z","24.46s"
"AUT-003","Authentication","Validate successful registration and login","RZCXC0TCRMN","Passed","2026-06-14T16:21:05.441Z","2026-06-14T16:21:53.943Z","48.50s"
"AUT-004","Authentication","Validate logout redirects back to auth screen","RZCXC0TCRMN","Passed","2026-06-14T16:21:53.944Z","2026-06-14T16:22:02.555Z","8.61s"
"CHA-001","Chat","1. Verify Dashboard landing","RZCXC0TCRMN","Passed","2026-06-14T16:22:24.768Z","2026-06-14T16:22:25.431Z","0.66s"
"CHA-002","Chat","2. Navigate to AI Chef Chat screen","RZCXC0TCRMN","Passed","2026-06-14T16:22:25.431Z","2026-06-14T16:22:28.004Z","2.57s"
"CHA-003","Chat","3. Verify chatbot greeting bubbles are displayed","RZCXC0TCRMN","Failed","2026-06-14T16:22:28.004Z","2026-06-14T16:22:43.996Z","15.99s"
"CHA-004","Chat","4. Click quick reply option","RZCXC0TCRMN","Failed","2026-06-14T16:22:45.454Z","2026-06-14T16:23:00.804Z","15.35s"
"CHA-005","Chat","5. Send custom text message to bot","RZCXC0TCRMN","Failed","2026-06-14T16:23:01.824Z","2026-06-14T16:23:07.421Z","5.59s"
"CHA-006","Chat","6. Clear chat history","RZCXC0TCRMN","Failed","2026-06-14T16:23:08.474Z","2026-06-14T16:23:18.412Z","9.94s"
"END-001","End-to-End","Execute complete kitchen workflow","RZCXC0TCRMN","Failed","2026-06-14T16:23:41.263Z","2026-06-14T16:25:34.345Z","113.08s"
"FOR-001","Form Validation","Validate registration fails when required fields are empty","RZCXC0TCRMN","Passed","2026-06-14T16:25:43.719Z","2026-06-14T16:26:09.870Z","26.15s"
"FOR-002","Form Validation","Validate password confirmation mismatch fails","RZCXC0TCRMN","Passed","2026-06-14T16:26:09.871Z","2026-06-14T16:26:36.969Z","27.10s"
"GES-001","Gestures","Perform login to access gesture views","RZCXC0TCRMN","Passed","2026-06-14T16:26:58.588Z","2026-06-14T16:26:59.474Z","0.89s"
"GES-002","Gestures","Verify swipe and scroll actions on Dashboard","RZCXC0TCRMN","Passed","2026-06-14T16:26:59.475Z","2026-06-14T16:27:12.326Z","12.85s"
"GES-003","Gestures","Verify pinch and zoom actions on Dashboard card banner","RZCXC0TCRMN","Passed","2026-06-14T16:27:12.327Z","2026-06-14T16:27:19.175Z","6.85s"
"ING-001","Ingredients","1. Verify Dashboard landing","RZCXC0TCRMN","Passed","2026-06-14T16:27:40.698Z","2026-06-14T16:27:41.660Z","0.96s"
"ING-002","Ingredients","2. Navigate to Ingredients screen","RZCXC0TCRMN","Passed","2026-06-14T16:27:41.660Z","2026-06-14T16:27:44.412Z","2.75s"
"ING-003","Ingredients","3. Add new ingredient to pantry","RZCXC0TCRMN","Passed","2026-06-14T16:27:44.413Z","2026-06-14T16:27:52.263Z","7.85s"
"ING-004","Ingredients","4. Filter pantry ingredients by category","RZCXC0TCRMN","Passed","2026-06-14T16:27:52.263Z","2026-06-14T16:27:55.291Z","3.03s"
"ING-005","Ingredients","5. Delete a specific ingredient from pantry","RZCXC0TCRMN","Failed","2026-06-14T16:27:55.291Z","2026-06-14T16:28:05.641Z","10.35s"
"ING-006","Ingredients","6. Clear all ingredients from pantry","RZCXC0TCRMN","Passed","2026-06-14T16:28:06.441Z","2026-06-14T16:28:16.362Z","9.92s"
"MEA-001","MealGen","1. Register and login to reach Dashboard","RZCXC0TCRMN","Passed","2026-06-14T16:28:37.916Z","2026-06-14T16:28:38.755Z","0.84s"
"MEA-002","MealGen","2. Generate meals with no ingredients","RZCXC0TCRMN","Passed","2026-06-14T16:28:38.756Z","2026-06-14T16:29:35.427Z","56.67s"
"MEA-003","MealGen","3. Add ingredients and generate meals successfully","RZCXC0TCRMN","Failed","2026-06-14T16:29:35.427Z","2026-06-14T16:30:49.146Z","73.72s"
